county,date,vaccines_started,vaccines_completed,vaccines_first_additional_dose
Allen,2021-02-26,659,332,0
Allen,2021-02-27,175,113,0
Allen,2021-02-28,64,96,0
Allen,2021-03-01,159,214,0
Allen,2021-03-02,508,289,0
Allen,2021-03-03,283,243,0
Allen,2021-03-04,633,508,0
Allen,2021-03-05,358,731,0
Allen,2021-03-06,224,503,0
Allen,2021-03-07,48,39,0
Allen,2021-03-08,256,372,0
Allen,2021-03-09,407,435,0
Allen,2021-03-10,624,601,0
Allen,2021-03-11,833,518,0
Allen,2021-03-12,598,815,0
Allen,2021-03-13,416,214,0
Allen,2021-03-14,72,11,0
Allen,2021-03-15,241,116,0
Allen,2021-03-16,324,172,0
Allen,2021-03-17,336,206,0
Allen,2021-03-18,593,172,0
Allen,2021-03-19,613,968,0
Allen,2021-03-20,141,137,0
Allen,2021-03-21,48,28,0
Allen,2021-03-22,143,221,0
Allen,2021-03-23,373,396,0
Allen,2021-03-24,525,299,0
Allen,2021-03-25,302,816,0
Allen,2021-03-26,230,389,0
Allen,2021-03-27,272,113,0
Allen,2021-03-28,10,44,0
Allen,2021-03-29,348,278,0
Allen,2021-03-30,360,281,0
Allen,2021-03-31,678,694,0
Allen,2021-04-01,446,1115,0
Allen,2021-04-02,680,753,0
Allen,2021-04-03,276,312,0
Allen,2021-04-04,23,21,0
Allen,2021-04-05,129,212,0
Allen,2021-04-06,214,289,0
Allen,2021-04-07,187,307,0
Allen,2021-04-08,712,1237,0
Allen,2021-04-09,295,447,0
Allen,2021-04-10,304,356,0
Allen,2021-04-11,45,69,0
Allen,2021-04-12,84,204,0
Allen,2021-04-13,170,407,0
Allen,2021-04-14,138,455,0
Allen,2021-04-15,102,265,0
Allen,2021-04-16,93,566,0
Allen,2021-04-17,48,281,0
Allen,2021-04-18,9,45,0
Allen,2021-04-19,122,218,0
Allen,2021-04-20,79,190,0
Allen,2021-04-21,74,223,0
Allen,2021-04-22,166,374,0
Allen,2021-04-23,56,218,0
Allen,2021-04-24,41,117,0
Allen,2021-04-25,57,40,0
Allen,2021-04-26,75,141,0
Allen,2021-04-27,123,155,0
Allen,2021-04-28,94,198,0
Allen,2021-04-29,128,478,0
Allen,2021-04-30,147,266,0
Allen,2021-05-01,61,80,0
Allen,2021-05-02,15,21,0
Allen,2021-05-03,53,81,0
Allen,2021-05-04,109,215,0
Allen,2021-05-05,94,143,0
Allen,2021-05-06,130,145,0
Allen,2021-05-07,143,166,0
Allen,2021-05-08,67,48,0
Allen,2021-05-09,10,10,0
Allen,2021-05-10,70,90,0
Allen,2021-05-11,70,94,0
Allen,2021-05-12,73,91,0
Allen,2021-05-13,111,180,0
Allen,2021-05-14,185,108,0
Allen,2021-05-15,150,61,0
Allen,2021-05-16,52,19,0
Allen,2021-05-17,158,68,0
Allen,2021-05-18,132,88,0
Allen,2021-05-19,171,109,0
Allen,2021-05-20,187,197,0
Allen,2021-05-21,171,109,0
Allen,2021-05-22,96,50,0
Allen,2021-05-23,47,14,0
Allen,2021-05-24,110,106,0
Allen,2021-05-25,131,151,0
Allen,2021-05-26,97,102,0
Allen,2021-05-27,96,66,0
Allen,2021-05-28,98,135,0
Allen,2021-05-29,31,37,0
Allen,2021-05-30,26,17,0
Allen,2021-05-31,12,6,0
Allen,2021-06-01,65,88,0
Allen,2021-06-02,61,83,0
Allen,2021-06-03,64,104,0
Allen,2021-06-04,115,186,0
Allen,2021-06-05,40,106,0
Allen,2021-06-06,12,39,0
Allen,2021-06-07,61,108,0
Allen,2021-06-08,53,112,0
Allen,2021-06-09,74,124,0
Allen,2021-06-10,47,136,0
Allen,2021-06-11,62,189,0
Allen,2021-06-12,30,90,0
Allen,2021-06-13,7,41,0
Allen,2021-06-14,52,104,0
Allen,2021-06-15,55,111,0
Allen,2021-06-16,58,93,0
Allen,2021-06-17,38,71,0
Allen,2021-06-18,50,108,0
Allen,2021-06-19,35,59,0
Allen,2021-06-20,15,30,0
Allen,2021-06-21,44,59,0
Allen,2021-06-22,62,90,0
Allen,2021-06-23,41,55,0
Allen,2021-06-24,36,68,0
Allen,2021-06-25,53,84,0
Allen,2021-06-26,14,31,0
Allen,2021-06-27,12,14,0
Allen,2021-06-28,34,67,0
Allen,2021-06-29,56,54,0
Allen,2021-06-30,41,57,0
Allen,2021-07-01,33,35,0
Allen,2021-07-02,44,51,0
Allen,2021-07-03,15,24,0
Allen,2021-07-04,3,2,0
Allen,2021-07-05,30,32,0
Allen,2021-07-06,33,62,0
Allen,2021-07-07,55,56,0
Allen,2021-07-08,45,42,0
Allen,2021-07-09,52,61,0
Allen,2021-07-10,17,21,0
Allen,2021-07-11,16,16,0
Allen,2021-07-12,34,43,0
Allen,2021-07-13,27,29,0
Allen,2021-07-14,31,39,0
Allen,2021-07-15,24,22,0
Allen,2021-07-16,50,41,0
Allen,2021-07-17,33,16,0
Allen,2021-07-18,21,15,0
Allen,2021-07-19,53,45,0
Allen,2021-07-20,51,48,0
Allen,2021-07-21,58,48,0
Allen,2021-07-22,59,44,0
Allen,2021-07-23,72,55,0
Allen,2021-07-24,25,12,0
Allen,2021-07-25,21,4,0
Allen,2021-07-26,51,41,0
Allen,2021-07-27,57,30,0
Allen,2021-07-28,114,110,0
Allen,2021-07-29,58,38,0
Allen,2021-07-30,107,53,0
Allen,2021-07-31,44,14,0
Allen,2021-08-01,27,16,0
Allen,2021-08-02,89,64,0
Allen,2021-08-03,103,43,0
Allen,2021-08-04,88,48,0
Allen,2021-08-05,82,27,0
Allen,2021-08-06,100,62,0
Allen,2021-08-07,46,21,0
Allen,2021-08-08,27,11,0
Allen,2021-08-09,89,45,0
Allen,2021-08-10,82,34,0
Allen,2021-08-11,51,42,0
Allen,2021-08-12,83,53,0
Allen,2021-08-13,102,84,2
Allen,2021-08-14,69,19,8
Allen,2021-08-15,27,26,2
Allen,2021-08-16,58,54,3
Allen,2021-08-17,68,41,12
Allen,2021-08-18,78,63,13
Allen,2021-08-19,53,39,7
Allen,2021-08-20,72,79,4
Allen,2021-08-21,30,27,5
Allen,2021-08-22,23,20,1
Allen,2021-08-23,70,57,9
Allen,2021-08-24,45,49,7
Allen,2021-08-25,113,74,11
Allen,2021-08-26,76,66,3
Allen,2021-08-27,82,91,21
Allen,2021-08-28,46,51,3
Allen,2021-08-29,19,28,5
Allen,2021-08-30,75,67,7
Allen,2021-08-31,67,67,14
Allen,2021-09-01,80,51,10
Allen,2021-09-02,63,51,7
Allen,2021-09-03,78,90,9
Allen,2021-09-04,45,44,1
Allen,2021-09-05,29,33,0
Allen,2021-09-06,15,20,0
Allen,2021-09-07,47,64,9
Allen,2021-09-08,277,123,11
Allen,2021-09-09,63,53,6
Allen,2021-09-10,87,94,11
Allen,2021-09-11,38,34,4
Allen,2021-09-12,28,17,1
Allen,2021-09-13,92,68,8
Allen,2021-09-14,73,54,3
Allen,2021-09-15,66,64,14
Allen,2021-09-16,78,62,2
Allen,2021-09-17,83,85,10
Allen,2021-09-18,39,42,9
Allen,2021-09-19,34,22,1
Allen,2021-09-20,117,137,6
Allen,2021-09-21,52,48,7
Allen,2021-09-22,71,64,16
Allen,2021-09-23,61,51,9
Allen,2021-09-24,92,93,26
Allen,2021-09-25,39,33,35
Allen,2021-09-26,26,24,20
Allen,2021-09-27,47,44,63
Allen,2021-09-28,62,64,61
Allen,2021-09-29,185,177,78
Allen,2021-09-30,45,45,90
Allen,2021-10-01,77,75,62
Allen,2021-10-02,33,43,25
Allen,2021-10-03,16,22,16
Allen,2021-10-04,48,49,53
Allen,2021-10-05,50,55,57
Allen,2021-10-06,54,65,80
Allen,2021-10-07,40,50,58
Allen,2021-10-08,56,87,60
Allen,2021-10-09,21,36,27
Allen,2021-10-10,14,32,19
Allen,2021-10-11,28,46,79
Allen,2021-10-12,33,39,71
Allen,2021-10-13,45,56,73
Allen,2021-10-14,40,56,120
Allen,2021-10-15,67,77,75
Allen,2021-10-16,29,23,13
Allen,2021-10-17,6,18,7
Allen,2021-10-18,45,47,63
Allen,2021-10-19,34,41,50
Allen,2021-10-20,46,45,50
Allen,2021-10-21,20,32,33
Allen,2021-10-22,49,72,296
Allen,2021-10-23,36,26,150
Allen,2021-10-24,12,15,84
Allen,2021-10-25,40,54,404
Allen,2021-10-26,47,42,329
Allen,2021-10-27,58,63,292
Allen,2021-10-28,43,53,247
Allen,2021-10-29,47,70,535
Allen,2021-10-30,25,33,124
Allen,2021-10-31,8,21,87
Allen,2021-11-01,48,35,443
Allen,2021-11-02,38,33,197
Allen,2021-11-03,38,42,321
Allen,2021-11-04,51,42,263
Allen,2021-11-05,54,47,575
Allen,2021-11-06,32,26,109
Allen,2021-11-07,16,14,60
Allen,2021-11-08,54,38,423
Allen,2021-11-09,75,39,246
Allen,2021-11-10,104,35,256
Allen,2021-11-11,57,48,261
Allen,2021-11-12,82,49,507
Allen,2021-11-13,38,31,83
Allen,2021-11-14,19,16,45
Allen,2021-11-15,78,39,375
Allen,2021-11-16,41,30,200
Allen,2021-11-17,94,33,331
Allen,2021-11-18,87,33,262
Allen,2021-11-19,99,70,467
Allen,2021-11-20,64,24,126
Allen,2021-11-21,16,16,87
Allen,2021-11-22,114,42,360
Allen,2021-11-23,51,35,273
Allen,2021-11-24,104,30,170
Allen,2021-11-25,2,1,2
Allen,2021-11-26,42,27,153
Allen,2021-11-27,43,25,96
Allen,2021-11-28,19,22,83
Allen,2021-11-29,91,67,347
Allen,2021-11-30,102,71,274
Allen,2021-12-01,101,82,321
Allen,2021-12-02,93,52,263
Allen,2021-12-03,120,64,461
Allen,2021-12-04,28,39,147
Allen,2021-12-05,24,27,77
Allen,2021-12-06,57,59,276
Allen,2021-12-07,41,46,199
Allen,2021-12-08,46,75,168
Allen,2021-12-09,50,35,290
Allen,2021-12-10,53,69,417
Allen,2021-12-11,22,33,139
Allen,2021-12-12,17,13,52
Allen,2021-12-13,41,39,212
Allen,2021-12-14,33,42,182
Allen,2021-12-15,83,83,215
Allen,2021-12-16,38,31,173
Allen,2021-12-17,75,54,318
Allen,2021-12-18,42,29,141
Allen,2021-12-19,18,19,76
Allen,2021-12-20,71,52,347
Allen,2021-12-21,47,43,226
Allen,2021-12-22,78,66,308
Allen,2021-12-23,60,45,275
Allen,2021-12-24,6,5,14
Allen,2021-12-25,0,0,0
Allen,2021-12-26,7,43,49
Allen,2021-12-27,68,70,326
Allen,2021-12-28,44,33,275
Allen,2021-12-29,74,42,224
Allen,2021-12-30,43,49,132
Allen,2021-12-31,21,17,66
Allen,2022-01-01,2,6,7
Allen,2022-01-02,14,36,56
Allen,2022-01-03,56,60,170
Allen,2022-01-04,41,46,113
Allen,2022-01-05,43,51,130
Allen,2022-01-06,39,33,100
Allen,2022-01-07,72,49,211
Allen,2022-01-08,41,25,89
Allen,2022-01-09,13,13,29
Allen,2022-01-10,37,35,103
Allen,2022-01-11,26,32,73
Allen,2022-01-12,45,47,92
Allen,2022-01-13,31,23,94
Allen,2022-01-14,61,37,155
Allen,2022-01-15,31,21,76
Allen,2022-01-16,26,18,35
Allen,2022-01-17,14,33,56
Allen,2022-01-18,18,36,52
Allen,2022-01-19,30,63,90
Allen,2022-01-20,20,40,53
Allen,2022-01-21,43,35,87
Allen,2022-01-22,20,10,32
