X,Y,FID,NAME,CLASS,ST,STFIPS,PLACEFIPS,CAPITAL,POP_CLASS,POPULATION
-87.46588219,36.65547612,1208,Fort Campbell North,Census Designated Place,KY,21,2128486, ,6,13997
-85.96361568,37.89123705,1209,Fort Knox,Census Designated Place,KY,21,2128540, ,6,11571
-84.45179415,39.08013139,1210,Fort Thomas,city,KY,21,2128594, ,6,16955
-84.8656305,38.1954136,1211,Frankfort,city,KY,21,2128900,State,6,28843
-84.57893375,38.2005561,1212,Georgetown,city,KY,21,2130700, ,6,33797
-85.92557645,37.00489383,1213,Glasgow,city,KY,21,2131114, ,6,14801
-87.57842016,37.8403398,1214,Henderson,city,KY,21,2135866, ,6,29158
-87.47899856,36.83892228,1215,Hopkinsville,city,KY,21,2137918, ,6,33129
-84.5424549,38.93934475,1216,Independence,city,KY,21,2139142, ,6,26873
-85.57010625,38.20538923,1217,Jeffersontown,city,KY,21,2140222, ,6,27617
-84.919114,38.03281401,1218,Lawrenceburg,city,KY,21,2144146, ,6,11378
-84.498175,38.04940919,1219,Lexington,city and county,KY,21,2146027, ,8,318319
-85.6760065,38.13143418,1220,Louisville,unknown,KY,21,2148006, ,8,372981
-85.58914135,38.26445384,1221,Lyndon,city,KY,21,2148558, ,6,11939
-87.5033254,37.34107511,1222,Madisonville,city,KY,21,2149368, ,6,19713
-88.64515875,36.7358895,1223,Mayfield,city,KY,21,2150898, ,6,10182
-83.72268508,36.6127139,1224,Middlesborough,city,KY,21,2151924, ,5,9930
-88.31940769,36.61783374,1225,Murray,city,KY,21,2154642, ,6,19098
-84.4869132,39.08565107,1226,Newport,city,KY,21,2155884, ,6,15909
-84.56981392,37.88507616,1227,Nicholasville,city,KY,21,2156136, ,6,30007
-87.11780846,37.75566997,1228,Owensboro,city,KY,21,2158620, ,7,60303
-88.59739442,37.08336849,1229,Paducah,city,KY,21,2158836, ,6,25099
-85.93647302,37.82060027,1230,Radcliff,city,KY,21,2163912, ,6,22996
-84.29494683,37.74605652,1231,Richmond,city,KY,21,2165226, ,6,35218
-85.65322475,38.24499009,1232,St. Matthews,city,KY,21,2167944, ,6,17867
-85.23047509,38.20629683,1233,Shelbyville,city,KY,21,2170050, ,6,15359
-85.70247266,37.98576841,1234,Shepherdsville,city,KY,21,2170086, ,6,13139
-85.8135835,38.19705904,1235,Shively,city,KY,21,2170284, ,6,15503
-84.60946277,37.08332292,1236,Somerset,city,KY,21,2171688, ,6,11080
-84.18995889,37.99941839,1237,Winchester,city,KY,21,2183676, ,6,18251
-92.12682571,29.97510129,1238,Abbeville,city,LA,22,2200100, ,6,12548
-92.44643044,31.31056814,1239,Alexandria,city,LA,22,2200975, ,6,49462
-91.16496889,30.58565605,1240,Baker,city,LA,22,2203985, ,6,13922
-91.90578127,32.7749579,1241,Bastrop,city,LA,22,2204685, ,6,10635
-91.18434986,30.44105327,1242,Baton Rouge,city,LA,22,2205000,State,8,230559
-90.632477,29.60410332,1243,Bayou Blue,Census Designated Place,LA,22,2205175, ,6,13524
-90.76176575,29.61638273,1244,Bayou Cane,Census Designated Place,LA,22,2205210, ,6,20240
-89.98684058,29.8504613,1245,Belle Chasse,Census Designated Place,LA,22,2206120, ,6,13416
-89.86326183,30.78118969,1246,Bogalusa,city,LA,22,2208150, ,6,11852
-93.73092272,32.52069193,1247,Bossier City,city,LA,22,2208920, ,7,68637
-91.03689986,30.55927274,1248,Central,city,LA,22,2213960, ,6,28723
-89.96511433,29.94501067,1249,Chalmette,Census Designated Place,LA,22,2214135, ,6,19724
-92.19802294,32.53785822,1250,Claiborne,Census Designated Place,LA,22,2215605, ,6,12349
-92.37520907,30.2176591,1251,Crowley,city,LA,22,2218650, ,6,13278
-90.95933482,30.47436144,1252,Denham Springs,city,LA,22,2220435, ,6,10710
-93.29313446,30.84668675,1253,DeRidder,city,LA,22,2220610, ,6,10810
-90.3828655,29.96177125,1254,Destrehan,Census Designated Place,LA,22,2220820, ,6,11839
-90.10057751,29.84376224,1255,Estelle,Census Designated Place,LA,22,2224390, ,6,16523
-92.41909894,30.49037356,1256,Eunice,city,LA,22,2224565, ,6,10076
-91.13496495,30.35845837,1257,Gardere,Census Designated Place,LA,22,2228275, ,6,12293
-90.92344137,30.21313385,1258,Gonzales,city,LA,22,2229850, ,6,10933
-90.05065237,29.90801886,1259,Gretna,city,LA,22,2231915, ,6,17623
-90.45728889,30.50633206,1260,Hammond,city,LA,22,2232755, ,6,20945
-90.08053702,29.90687279,1261,Harvey,Census Designated Place,LA,22,2233245, ,6,21258
-90.69639468,29.58549275,1262,Houma,city,LA,22,2236255, ,6,35052
-90.16517975,29.9616647,1263,Jefferson,Census Designated Place,LA,22,2238145, ,6,11079
-90.25625124,30.00891643,1264,Kenner,city,LA,22,2239475, ,7,66601
-92.03080253,30.21239331,1265,Lafayette,city,LA,22,2240735, ,8,131191
-93.21276679,30.20252388,1266,Lake Charles,city,LA,22,2241155, ,7,75448
-90.47576352,30.07305339,1267,Laplace,Census Designated Place,LA,22,2242030, ,6,29297
-90.36496514,29.93139665,1268,Luling,Census Designated Place,LA,22,2246615, ,6,12831
-90.0803945,30.36810097,1269,Mandeville,city,LA,22,2248225, ,6,13067
-90.11404871,29.88400289,1270,Marrero,Census Designated Place,LA,22,2248785, ,6,32898
-90.13196191,29.98415698,1271,Metairie,Census Designated Place,LA,22,2250115, ,8,140137
-93.2783245,32.616033,1272,Minden,city,LA,22,2250885, ,6,12982
-92.11666437,32.50800473,1273,Monroe,city,LA,22,2251410, ,6,49237
-91.20338125,29.70676357,1274,Morgan City,city,LA,22,2252040, ,6,12080
-93.20506787,30.30388653,1275,Moss Bluff,Census Designated Place,LA,22,2252425, ,6,12311
-93.08601006,31.75934091,1276,Natchitoches,city,LA,22,2253545, ,6,18765
-91.82005824,30.00483632,1277,New Iberia,city,LA,22,2254035, ,6,30244
-90.07521242,29.95320293,1278,New Orleans,city,LA,22,2255000, ,8,378952
-92.08498041,30.52717475,1279,Opelousas,city,LA,22,2258045, ,6,15991
-92.429522,31.3254105,1280,Pineville,city,LA,22,2260530, ,6,15459
-90.95715197,30.31507266,1281,Prairieville,Census Designated Place,LA,22,2262385, ,6,32245
-90.636406,29.7321373,1282,Raceland,Census Designated Place,LA,22,2263155, ,6,10505
-90.2186625,29.96105516,1283,River Ridge,Census Designated Place,LA,22,2265150, ,6,13516
-92.63636004,32.53285671,1284,Ruston,city,LA,22,2266655, ,6,22281
-91.00204816,30.40192165,1285,Shenandoah,Census Designated Place,LA,22,2269225, ,6,18975
-93.7496355,32.51086601,1286,Shreveport,city,LA,22,2270000, ,8,199308
-89.78246398,30.28874451,1287,Slidell,city,LA,22,2270805, ,6,28935
-93.3555907,30.23036813,1288,Sulphur,city,LA,22,2273640, ,6,20602
-90.02946476,29.90232594,1289,Terrytown,Census Designated Place,LA,22,2275180, ,6,24207
-90.81641284,29.79428958,1290,Thibodaux,city,LA,22,2275425, ,6,15063
-90.03021784,29.87810739,1291,Timberlane,Census Designated Place,LA,22,2275740, ,6,10237
-92.15151116,32.51192514,1292,West Monroe,city,LA,22,2280955, ,6,13772
-90.07556548,29.84956561,1293,Woodmere,Census Designated Place,LA,22,2283002, ,6,11749
-91.15172093,30.64840379,1294,Zachary,city,LA,22,2283405, ,6,16575
-70.2492825,44.08516042,1295,Auburn,city,ME,23,2302060, ,6,23462
-69.77665864,44.3163238,1296,Augusta,city,ME,23,2302100,State,6,18386
-68.77234197,44.80390034,1297,Bangor,city,ME,23,2302795, ,6,33065
-70.4571259,43.46869688,1298,Biddeford,city,ME,23,2304860, ,6,22001
-69.9860215,43.89720475,1299,Brunswick,Census Designated Place,ME,23,2308395, ,6,15685
-70.21639159,44.09901111,1300,Lewiston,city,ME,23,2338740, ,6,37028
-70.25730401,43.65770651,1301,Portland,city,ME,23,2360545, ,7,68873
-70.44311042,43.49950164,1302,Saco,city,ME,23,2364675, ,6,19281
-70.25229985,43.63332336,1303,South Portland,city,ME,23,2371990, ,6,25929
-69.633464,44.55258208,1304,Waterville,city,ME,23,2380740, ,6,15623
-70.35383389,43.69540259,1305,Westbrook,city,ME,23,2382105, ,6,19147
-76.17302455,39.51457668,1306,Aberdeen,city,MD,24,2400125, ,6,16239
